id,name,grade,preferred_subject,attendance_rate,home_language,password,math_score,science_score,english_language_score,role,school_id,is_super_admin,failed_login_attempts,locked_until,xp,badges,email,section_id
student_g3_6,Student G3-6,3,General,85.6,English,student123,94.8,64.6,82.9,Student,1,False,0,,0,[],,
student_g3_7,Student G3-7,3,General,67.9,English,student123,87.1,87.3,91.2,Student,1,False,0,,0,[],,
student_g3_8,Student G3-8,3,General,86.8,English,student123,84.0,65.7,53.9,Student,1,False,0,,0,[],,
student_g3_9,Student G3-9,3,General,91.9,English,student123,54.4,88.1,68.0,Student,1,False,0,,0,[],,
student_g3_10,Student G3-10,3,General,78.2,English,student123,76.2,94.5,65.6,Student,1,False,0,,0,[],,
student_g4_1,Student G4-1,4,General,62.4,English,student123,84.5,75.6,65.8,Student,1,False,0,,0,[],,
student_g4_2,Student G4-2,4,General,91.8,English,student123,94.9,72.9,69.8,Student,1,False,0,,0,[],,
student_g4_3,Student G4-3,4,General,93.8,English,student123,85.9,95.1,90.4,Student,1,False,0,,0,[],,
student_g4_4,Student G4-4,4,General,95.6,English,student123,61.7,65.7,96.6,Student,1,False,0,,0,[],,
student_g4_5,Student G4-5,4,General,65.9,English,student123,58.6,94.2,72.3,Student,1,False,0,,0,[],,
student_g4_6,Student G4-6,4,General,98.0,English,student123,89.2,45.8,72.3,Student,1,False,0,,0,[],,
student_g4_7,Student G4-7,4,General,82.4,English,student123,91.6,60.2,62.0,Student,1,False,0,,0,[],,
student_g4_8,Student G4-8,4,General,90.5,English,student123,54.3,57.3,88.2,Student,1,False,0,,0,[],,
student_g4_9,Student G4-9,4,General,62.2,English,student123,98.6,70.5,77.3,Student,1,False,0,,0,[],,
student_g4_10,Student G4-10,4,General,72.4,English,student123,84.2,96.2,85.4,Student,1,False,0,,0,[],,
student_g5_1,Student G5-1,5,General,63.7,English,student123,59.3,60.2,57.2,Student,1,False,0,,0,[],,
student_g5_6,Student G5-6,5,General,86.2,English,student123,63.4,52.8,76.1,Student,1,False,0,,0,[],,
student_g5_7,Student G5-7,5,General,99.3,English,student123,87.5,55.6,73.6,Student,1,False,0,,0,[],,
student_g5_8,Student G5-8,5,General,98.5,English,student123,58.2,46.4,53.2,Student,1,False,0,,0,[],,
student_g5_9,Student G5-9,5,General,93.6,English,student123,46.4,60.9,84.1,Student,1,False,0,,0,[],,
student_g5_10,Student G5-10,5,General,98.4,English,student123,72.8,85.2,69.4,Student,1,False,0,,0,[],,
S001,Alice Smith,9,Maths,86.4,English,123,75.1,68.5,82.8,Student,1,False,0,,0,[],,
S002,Bob Johnson,10,Science,63.1,Spanish,123,53.5,62.9,97.3,Student,1,False,0,,0,[],,
SURJEET,Surjeet J,11,Science,66.3,Punjabi,123,73.1,83.2,86.4,Student,1,False,0,,0,[],,
teacher,Teacher Admin,0,All,100.0,English,teacher,100.0,100.0,100.0,Teacher,1,False,0,,0,[],,
DEVA,Deva Krishnan,11,Tamil,76.6,Tamil,123,83.3,91.6,67.0,Student,1,False,0,,0,[],,
HARISH,Harish Boy,5,English,80.4,Hindi,123,98.9,91.5,49.7,Student,1,False,0,,0,[],,
S57169,George Martin,10,History,96.3,English,Student@123,75.7,91.5,91.3,Student,8,False,0,,0,[],,
S51560,Hannah Montana,10,History,99.4,English,Student@123,62.8,92.9,64.0,Student,8,False,0,,0,[],,
S64074,Ian Somerhalder,12,Math,96.3,English,Student@123,95.7,81.4,82.8,Student,8,False,0,,0,[],,
S56455,Julia Roberts,12,English,84.3,English,Student@123,80.6,93.0,65.2,Student,8,False,0,,0,[],,
student_g1_1,Student G1-1,1,General,76.2,English,student123,61.2,83.8,82.8,Student,1,False,0,,0,[],,
T6561,Mr. Anderson,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
T1284,Mrs. McGonagall,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
parent_demo,Demo Parent,0,General,0.0,English,123,,,,Parent,1,False,4,,0,[],,
S46160,Alice Johnson,9,Math,88.2,English,Student@123,60.7,89.3,89.4,Student,8,False,0,,0,[],,
S26656,Bob Smith,12,English,92.8,English,Student@123,56.9,53.2,53.3,Student,8,False,0,,0,[],,
S46168,Charlie Brown,12,History,92.7,English,Student@123,81.7,77.1,80.7,Student,8,False,0,,0,[],,
S44032,Diana Prince,10,Science,91.2,English,Student@123,50.5,82.4,59.6,Student,8,False,0,,0,[],,
S30626,Ethan Hunt,11,English,87.5,English,Student@123,84.8,91.5,61.8,Student,8,False,0,,0,[],,
S56077,Fiona Gallagher,11,Math,94.9,English,Student@123,59.4,53.5,78.2,Student,8,False,0,,0,[],,
S33726,George Martin,12,Math,87.4,English,Student@123,87.4,70.9,52.0,Student,8,False,0,,0,[],,
S99667,Hannah Montana,9,History,81.3,English,Student@123,86.0,99.4,50.7,Student,8,False,0,,0,[],,
S47492,Ian Somerhalder,11,Math,77.2,English,Student@123,84.6,72.1,79.6,Student,8,False,0,,0,[],,
S88843,Julia Roberts,12,Math,92.3,English,Student@123,69.9,54.5,67.8,Student,8,False,0,,0,[],,
T2381,Mr. Anderson,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
T9395,Mrs. McGonagall,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
S72736,Alice Johnson,10,English,82.6,English,Student@123,61.6,98.3,65.7,Student,8,False,0,,0,[],,
S98723,Bob Smith,12,English,74.8,English,Student@123,61.8,73.9,71.4,Student,8,False,0,,0,[],,
S30274,Charlie Brown,10,English,72.3,English,Student@123,65.3,99.7,99.9,Student,8,False,0,,0,[],,
S82479,Diana Prince,11,Science,82.5,English,Student@123,88.5,69.2,90.3,Student,8,False,0,,0,[],,
S11056,Ethan Hunt,10,English,95.3,English,Student@123,91.8,69.2,55.2,Student,8,False,0,,0,[],,
S88624,Fiona Gallagher,9,English,81.9,English,Student@123,61.8,97.7,71.4,Student,8,False,0,,0,[],,
S86072,George Martin,10,History,86.1,English,Student@123,87.3,62.4,88.9,Student,8,False,0,,0,[],,
S37133,Hannah Montana,11,Science,82.2,English,Student@123,59.0,94.6,71.2,Student,8,False,0,,0,[],,
S11319,Ian Somerhalder,9,English,96.9,English,Student@123,90.8,75.3,55.7,Student,8,False,0,,0,[],,
S48296,Julia Roberts,11,History,84.9,English,Student@123,91.3,99.9,72.4,Student,8,False,0,,0,[],,
T3569,Mr. Anderson,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
T4793,Mrs. McGonagall,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
S32193,Alice Johnson,11,English,81.5,English,Student@123,82.8,99.5,58.8,Student,8,False,0,,0,[],,
S35397,Bob Smith,11,Science,87.6,English,Student@123,50.9,78.0,84.5,Student,8,False,0,,0,[],,
S35896,Charlie Brown,11,English,73.5,English,Student@123,78.6,62.1,70.7,Student,8,False,0,,0,[],,
S72984,Diana Prince,9,English,79.9,English,Student@123,65.0,71.9,72.0,Student,8,False,0,,0,[],,
S62695,Ethan Hunt,12,English,79.9,English,Student@123,86.1,66.7,78.9,Student,8,False,0,,0,[],,
S18858,Fiona Gallagher,9,English,79.7,English,Student@123,86.7,88.7,84.4,Student,8,False,0,,0,[],,
S48637,George Martin,10,History,75.3,English,Student@123,53.8,91.7,95.9,Student,8,False,0,,0,[],,
S53493,Hannah Montana,9,English,84.6,English,Student@123,66.6,83.7,67.1,Student,8,False,0,,0,[],,
S63147,Ian Somerhalder,12,English,91.1,English,Student@123,61.8,84.8,81.4,Student,8,False,0,,0,[],,
S45579,Julia Roberts,9,Math,75.0,English,Student@123,82.9,65.4,90.3,Student,8,False,0,,0,[],,
T9493,Mr. Anderson,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
T7206,Mrs. McGonagall,,,,,Teacher@123,,,,Teacher,8,False,0,,0,[],,
S73033,Alice Johnson,11,Math,92.7,English,Student@123,89.6,65.9,69.1,Student,8,False,0,,0,[],,
S60622,Bob Smith,12,Math,91.6,English,Student@123,93.6,63.7,99.0,Student,8,False,0,,0,[],,
S10517,Charlie Brown,11,History,87.4,English,Student@123,95.6,76.6,71.9,Student,8,False,0,,0,[],,
S32657,Diana Prince,9,Science,96.7,English,Student@123,72.7,73.4,97.9,Student,8,False,0,,0,[],,
S80763,Ethan Hunt,11,Math,75.6,English,Student@123,95.1,89.6,66.4,Student,8,False,0,,0,[],,
S71958,Fiona Gallagher,9,History,78.0,English,Student@123,70.6,75.3,89.3,Student,8,False,0,,0,[],,
parent_g1,Parent of Student G1-2,0,General,0.0,English,123,,,,Parent,1,False,0,,0,[],,
